TESS_time TESS_flux TESS_fluxerr
2.458385974493374582e+06 1.000601217591929881e+00 6.439954682381966592e-04
2.458385995327143930e+06 1.000066959794281285e+00 6.442150774316930673e-04
2.458386016160912346e+06 9.993095130841207485e-01 6.436997829706997409e-04
2.458386036994679831e+06 9.996648584968577111e-01 6.440551443387088851e-04
2.458386057828446850e+06 9.997641529770752156e-01 6.438021435132840068e-04
2.458386078662212472e+06 9.996522564393861554e-01 6.436781536844649607e-04
2.458386099495977629e+06 1.000440307007698815e+00 6.440165888705060362e-04
2.458386120329740923e+06 9.999268396887817101e-01 6.439599982188226428e-04
2.458386141163504682e+06 9.997458914856940382e-01 6.438426903247172501e-04
2.458386161997267045e+06 9.996665319320937604e-01 6.437881046213958123e-04
2.458386182831028011e+06 1.000117152042602209e+00 6.443275502227910345e-04
2.458386203664788511e+06 1.000739898545714990e+00 6.441794897207793772e-04
2.458386224498548079e+06 1.000737743925048218e+00 6.441343699070001955e-04
2.458386245332307182e+06 9.993861447783468632e-01 6.440355928661157343e-04
2.458386266166065354e+06 9.996688198987232488e-01 6.439698459709373860e-04
2.458386286999822129e+06 9.991347955869522846e-01 6.443042745244491288e-04
2.458386307833578438e+06 1.000990238214302552e+00 6.442603988443942669e-04
2.458386328667333350e+06 1.000865202547871036e+00 6.442938725034143450e-04
2.458386349501088262e+06 1.000593911957806892e+00 6.447106778335161487e-04
2.458386370334841311e+06 9.996930743328021896e-01 6.441331576182204172e-04
2.458386391168594360e+06 9.991947602355317759e-01 6.441127604128421384e-04
2.458386412002346478e+06 1.000329895957134063e+00 6.441911363711538569e-04
2.458386432836097199e+06 1.000267513187706347e+00 6.441835956952136379e-04
2.458386453669847921e+06 1.000089327896502622e+00 6.441710356047118018e-04
2.458386474503596779e+06 9.998061202410198911e-01 6.440969015313132871e-04
2.458386495337345637e+06 9.999254260315829645e-01 6.441393229975407760e-04
2.458386516171093564e+06 9.993443990580688219e-01 6.441278886069193646e-04
2.458386537004840095e+06 9.998478221695277224e-01 6.445027316560538073e-04
2.458386557838586159e+06 1.000261509975574947e+00 6.442063808417199545e-04
2.458386578672330827e+06 1.000487785358813664e+00 6.443465874375296776e-04
2.458386599506075494e+06 1.000703010239186508e+00 6.442843953114956281e-04
2.458386620339819230e+06 1.000023375146103177e+00 6.442448352547322206e-04
2.458386641173561569e+06 9.993692792727372209e-01 6.441394046226716925e-04
2.458386662007303443e+06 1.000169282370066304e+00 6.444177373358363691e-04
2.458386682841044385e+06 1.000229368319647705e+00 6.443346536578791134e-04
2.458386703674784862e+06 9.992629950920228765e-01 6.443041540686159953e-04
2.458386724508523475e+06 9.997253680317611524e-01 6.442497982276840967e-04
2.458386745342262555e+06 1.000373448385613706e+00 6.442507224447936243e-04
2.458386766176000237e+06 9.996870438230931466e-01 6.444240167990982404e-04
2.458386787009736989e+06 1.000402542619772461e+00 6.443917426971621431e-04
2.458386807843472809e+06 9.998413685923015493e-01 6.445341601369578314e-04
2.458386828677208163e+06 1.000560493751818214e+00 6.445188346419828719e-04
2.458386849510942586e+06 1.000883136954192620e+00 6.446858508540583097e-04
2.458386870344676077e+06 9.993829332166153101e-01 6.445598390047435622e-04
2.458386891178408638e+06 1.000464767210228700e+00 6.444276666919593853e-04
2.458386912012140732e+06 9.996187586890687982e-01 6.443978907917088461e-04
2.458386932845871896e+06 9.998963380524553690e-01 6.444686227484763049e-04
2.458386953679602128e+06 9.999884147217095176e-01 6.447493369701452716e-04
2.458386974513331894e+06 9.995157055869859919e-01 6.445391394123643194e-04
2.458386995347060263e+06 1.001355640122340462e+00 6.448432277571726923e-04
2.458387016180788632e+06 9.988322737286174924e-01 6.446417139284498291e-04
2.458387037014515139e+06 9.990740819326346944e-01 6.445338180653512224e-04
2.458387057848241646e+06 1.001604556587748496e+00 6.449343930745004682e-04
2.458387078681967221e+06 9.996774845410822952e-01 6.446976743843376096e-04
2.458387099515691865e+06 9.988516089329992909e-01 6.451274706338170793e-04
2.458387120349415578e+06 1.000643336712911058e+00 6.450583556656133916e-04
2.458387141183138359e+06 9.992135187478378144e-01 6.445455558496327635e-04
2.458387162016861141e+06 1.000903544380841836e+00 6.447376348117651564e-04
2.458387182850582059e+06 9.998153069081211486e-01 6.448167505806684605e-04
2.458387203684302978e+06 1.000840006652157665e+00 6.450427235972963072e-04
2.458387224518022966e+06 9.986494640997302108e-01 6.444712395538227181e-04
2.458387245351741556e+06 9.987901422933302964e-01 6.446147326108045460e-04
2.458387266185460147e+06 1.000728878634937757e+00 6.452061184759182600e-04
2.458387287019177340e+06 1.000087499559639381e+00 6.450155426860438657e-04
2.458387307852894068e+06 1.000431899888677423e+00 6.448006967164224626e-04
2.458387328686610330e+06 1.000363256151897584e+00 6.447688951336473170e-04
2.458387349520325195e+06 1.000110126083251672e+00 6.446790148610602976e-04
2.458387370354039595e+06 1.000656982384398708e+00 6.450701874398560376e-04
2.458387391187753063e+06 1.000022631307045495e+00 6.452025380951915533e-04
2.458387412021465600e+06 9.991930265532049660e-01 6.448475803518164502e-04
2.458387432855178136e+06 1.000825699980945283e+00 6.450185170831795748e-04
2.458387453688888811e+06 9.996350745736356513e-01 6.451785784556663371e-04
2.458387474522599485e+06 9.994305857873969634e-01 6.450113856742685850e-04
2.458387495356308762e+06 1.000267802519350768e+00 6.449650264837226065e-04
2.458387516190017574e+06 1.000092074810547738e+00 6.449676668475383227e-04
2.458387537023725454e+06 9.994260635320256769e-01 6.448538816713883775e-04
2.458387557857432868e+06 9.995078222383519950e-01 6.455487146570968674e-04
2.458387578691139352e+06 9.997148161304953984e-01 6.451841578920762934e-04
2.458387599524844903e+06 9.998226552556246371e-01 6.449628234849299948e-04
2.458387620358549990e+06 1.001177954754252086e+00 6.452442424716708924e-04
2.458387641192254145e+06 9.998899432291612488e-01 6.451416619527142226e-04
2.458387662025957368e+06 1.000834109136552907e+00 6.452762537770312563e-04
2.458387682859660126e+06 1.000926914208843055e+00 6.452828178826752747e-04
2.458387703693361953e+06 1.000768709450458704e+00 6.457829580935479843e-04
2.458387724527062848e+06 9.999538620277955703e-01 6.453181831583873051e-04
2.458387787028161809e+06 9.985793005306423664e-01 6.450274653493602312e-04
2.458387807861859445e+06 1.000213850767323498e+00 6.455975886465313996e-04
