HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459541.12814,2021-11-22.6315109,bB,2.00,16.789,14.188,0.020,7.673,0.140,g
2459543.12511,2021-11-24.6283201,bB,1.77,17.600,14.125,0.009,8.129,0.066,g
2459565.85026,2021-12-17.3514414,bF,1.52,17.167,14.236,0.015,7.341,0.099,g
2459580.95205,2022-01-01.4517528,br,2.28,18.344,14.221,0.005,7.439,0.033,g
2459583.93855,2022-01-04.4379788,br,1.44,18.151,14.256,0.006,7.204,0.040,g
2459585.91944,2022-01-06.4186635,br,1.52,18.355,14.240,0.005,7.311,0.033,g
2459588.00929,2022-01-08.5083135,bB,2.03,18.345,14.130,0.004,8.094,0.033,g
2459591.99985,2022-01-12.4984949,bB,2.06,17.647,14.128,0.009,8.106,0.063,g
2459593.02484,2022-01-13.5233863,br,1.41,18.342,14.240,0.005,7.313,0.033,g
2459595.01380,2022-01-15.5121570,br,2.06,17.802,14.232,0.008,7.364,0.055,g
2459595.04003,2022-01-15.5383847,bB,1.75,17.326,14.128,0.011,8.107,0.085,g
2459596.86696,2022-01-17.3651447,br,1.47,16.910,14.256,0.019,7.208,0.125,g
2459599.13495,2022-01-19.6329282,bB,2.07,17.396,14.106,0.010,8.275,0.080,g
2459599.59386,2022-01-20.0917966,bn,1.66,15.895,14.209,0.046,7.520,0.318,g
2459605.00385,2022-01-25.5013046,bB,2.03,18.149,14.138,0.005,8.035,0.040,g
2459606.08037,2022-01-26.5777324,bB,1.75,18.181,14.151,0.005,7.934,0.039,g
2459606.99333,2022-01-27.4906196,br,1.34,17.352,14.248,0.012,7.257,0.083,g
2459608.87430,2022-01-29.3714263,bF,1.49,17.684,14.270,0.009,7.109,0.061,g
2459611.06659,2022-01-31.5635265,bB,1.81,18.561,14.135,0.004,8.052,0.027,g
2459611.74656,2022-02-01.2434377,bF,1.48,17.817,14.284,0.008,7.019,0.054,g
2459613.10323,2022-02-02.6000187,bB,1.75,18.805,14.132,0.003,8.076,0.022,g
2459616.79396,2022-02-06.2904510,bj,1.60,17.629,14.218,0.009,7.460,0.064,g
2459617.51333,2022-02-07.0097615,bn,1.53,17.802,14.223,0.008,7.426,0.055,g
2459619.72419,2022-02-09.2204662,bF,1.44,17.930,14.303,0.008,6.900,0.049,g
2459620.52086,2022-02-10.0170842,bn,1.57,17.803,14.193,0.008,7.635,0.055,g
2459621.52076,2022-02-11.0169068,bn,1.51,18.066,14.200,0.006,7.587,0.043,g
2459622.95243,2022-02-12.4484754,bB,2.21,17.681,14.144,0.008,7.989,0.061,g
2459623.92752,2022-02-13.4235017,bB,2.00,17.242,14.139,0.012,8.023,0.092,g
2459624.47639,2022-02-13.9723296,bn,1.63,16.774,14.289,0.022,6.988,0.142,g
2459625.86090,2022-02-15.3567518,bj,1.60,16.939,14.186,0.017,7.684,0.122,g
2459626.92018,2022-02-16.4159619,br,1.55,16.573,14.159,0.024,7.879,0.171,g
2459632.51569,2022-02-22.0111340,bn,1.50,16.776,14.216,0.021,7.474,0.142,g
2459633.73462,2022-02-23.2299984,bj,1.74,17.492,14.224,0.011,7.419,0.073,g
2459634.70459,2022-02-24.1999225,bj,1.63,17.495,14.214,0.011,7.491,0.073,g
2459635.47446,2022-02-24.9697414,bn,1.51,17.596,14.214,0.010,7.490,0.066,g
2459637.03870,2022-02-26.5339012,bB,2.06,18.498,14.144,0.004,7.987,0.029,g
2459637.78503,2022-02-27.2802045,bF,1.51,17.997,14.263,0.007,7.158,0.046,g
2459638.99610,2022-02-28.4912171,bB,2.00,18.446,14.125,0.004,8.129,0.030,g
2459641.88101,2022-03-03.3759915,bB,2.24,18.943,14.131,0.003,8.080,0.019,g
