mag,realbogus
19.228775,0.44
18.579432,0.54
18.931633,0.39
19.228931,0.43
16.899681,0.48
20.075636,0.27
18.183834,0.22
17.387705,0.61
17.216475,0.89
18.975191,0.63
17.80239,0.85
19.494553,0.49
18.393143,0.79
19.21158,0.72
18.522993,0.65
18.972548,0.6
19.209171,0.24
18.094994,0.69
17.808687,0.92
18.556793,0.27
19.015013,0.45
18.842554,0.5
18.27124,0.28
19.591679,0.5
15.86507,0.75
18.644735,0.53
18.34087,0.73
18.616291,0.44
17.79458,0.72
18.505005,0.5
18.29732,0.54
18.475515,0.21
18.353535,0.39
16.721024,1.0
18.578667,0.67
19.07485,0.49
19.84759,0.21
18.55906,0.57
19.68395,0.6
18.737778,0.64
19.12435,0.42
18.957945,0.58
19.102325,0.32
18.547039,0.25
19.102707,0.74
19.033808,0.55
17.666533,0.56
19.498201,0.24
18.771385,0.43
17.91558,0.94
17.392855,0.72
19.129951,0.32
19.17599,0.34
19.591398,0.52
19.123377,0.2
18.424332,0.63
18.382559,0.2
17.931034,0.94
19.651974,0.49
19.14785,0.58
18.799414,0.53
19.01872,0.83
17.03848,0.79
18.104465,0.86
19.155224,0.24
19.269089,0.32
18.646362,0.22
19.054771,0.44
18.482214,0.51
18.604328,0.4
18.422447,0.2
19.217827,0.42
19.307377,0.66
17.532688,0.77
18.88498,0.58
19.238781,0.66
18.236393,0.92
18.451487,0.22
16.796886,0.68
18.985773,0.72
18.474543,0.39
18.701702,0.73
18.162731,0.53
19.058193,0.5
18.817148,0.28
19.358454,0.67
17.095932,0.98
18.459837,0.29
18.69568,0.48
18.453123,0.79
18.530909,0.75
19.267988,0.41
19.367092,0.39
17.114973,0.47
19.462091,0.34
17.056198,0.71
18.123089,0.23
19.5057,0.47
17.94382,0.7
19.548676,0.46
18.880024,0.27
18.746336,0.28
20.153906,0.32
19.126032,0.38
18.841492,0.34
19.629368,0.37
19.460482,0.49
19.43633,0.21
18.515379,0.74
19.824177,0.54
19.580818,0.32
18.968266,0.32
17.810713,0.38
18.91175,0.24
17.63507,0.66
19.05448,0.37
18.4216,0.47
20.04054,0.41
18.114216,0.9
14.510305,0.59
18.676268,0.58
18.63991,0.55
18.806396,0.45
18.897913,0.25
17.979588,0.28
17.810724,0.5
18.784079,0.39
16.571722,0.79
17.259092,0.52
14.903839,0.25
18.84252,0.42
19.370174,0.29
17.734617,0.91
18.960278,0.23
18.546091,0.23
19.40479,0.23
18.112213,0.91
18.065693,0.66
17.813633,0.36
18.747082,0.23
18.206825,0.81
18.690588,0.65
18.96288,0.26
17.939688,0.64
18.72627,0.63
18.718157,0.51
17.98527,0.71
18.985704,0.35
18.348333,0.9
18.169407,1.0
19.284424,0.26
18.620176,0.81
19.279348,0.35
16.318825,0.59
18.46492,0.35
17.77475,0.23
18.530582,0.52
18.215466,0.98
18.002283,0.67
18.15465,0.86
17.404903,0.92
18.091297,0.87
19.12883,0.41
19.117655,0.49
18.550394,0.59
18.602648,0.37
18.69318,0.72
18.579796,0.44
18.934015,0.38
17.59696,0.99
15.186622,0.97
17.512907,0.8
18.759886,0.91
18.893406,0.22
19.063879,0.4
17.78339,0.72
17.912878,0.24
18.417736,0.43
17.791882,0.63
17.87582,0.81
18.619053,0.22
18.653454,0.31
17.415161,0.82
18.761139,0.2
18.37846,0.36
18.914324,0.44
17.938047,0.59
18.340662,0.65
18.717163,0.61
18.386152,0.34
18.939127,0.27
18.551773,0.48
18.580946,0.68
18.745228,0.25
18.00936,0.97
17.913837,0.28
19.054497,0.2
19.14577,0.28
17.607477,0.98
19.071964,0.21
18.867542,0.86
18.0871,0.28
18.428804,0.64
18.58358,0.4
18.959072,0.55
18.765503,0.55
17.779705,0.63
18.299843,0.96
18.849367,0.41
17.944294,0.78
19.019896,0.51
19.06057,0.57
19.090918,0.41
15.380596,1.0
18.865807,0.29
18.690119,0.8
16.645355,0.98
17.835976,0.72
17.669514,0.94
18.331259,0.94
19.236324,0.22
18.40269,0.82
18.777489,0.37
19.388887,0.27
19.068441,0.31
18.317795,0.22
18.134142,0.72
16.097412,0.95
19.073677,0.45
18.917028,0.45
18.522562,0.72
18.838743,0.28
17.586254,0.88
18.712608,0.4
17.489939,0.28
17.953041,0.79
18.959316,0.43
18.205536,0.52
18.71351,0.53
18.415873,0.3
17.9041,0.23
17.513063,0.83
17.69624,0.97
18.256407,0.46
17.110577,0.7
17.034557,0.36
17.946949,0.42
17.993889,0.71
18.811218,0.45
18.15818,0.41
19.022303,0.64
19.279902,0.5
19.392488,0.36
17.261082,0.57
17.664204,0.57
18.678774,0.8
19.022854,0.28
18.143808,0.27
17.68472,0.88
17.841187,0.72
19.11479,0.32
18.013002,1.0
19.700287,0.23
19.719387,0.59
19.233646,0.47
18.265055,0.67
18.916842,0.62
19.738213,0.36
17.115414,0.27
19.189375,0.25
18.896282,0.42
19.33648,0.79
18.79349,0.69
18.767246,0.28
19.160122,0.48
17.434845,0.89
18.544518,0.64
18.164244,1.0
19.145802,0.42
18.362757,0.57
19.560549,0.43
18.672813,0.46
18.08007,0.97
18.745913,0.74
18.124632,0.63
19.048998,0.59
18.819815,0.49
18.738634,0.65
18.910826,0.61
18.089172,0.68
19.135807,0.29
18.990416,0.3
18.313377,0.78
18.892067,0.71
19.24865,0.57
19.263699,0.43
18.900042,0.52
18.026411,0.71
19.162786,0.54
18.326204,0.81
19.179249,0.55
18.600262,0.23
18.187315,0.55
18.213388,0.47
18.28348,0.76
17.708475,0.77
15.336229,0.41
18.67891,0.63
17.774673,0.96
18.594984,0.36
19.160372,0.61
18.361963,0.31
17.669363,0.96
18.861021,0.31
18.432308,0.66
17.948004,0.75
17.359827,0.96
17.098543,0.81
19.485409,0.33
18.416218,0.75
18.53434,0.72
18.245646,0.74
18.331373,0.33
18.21079,0.61
18.884403,0.69
18.191519,0.21
18.771826,0.42
18.484297,0.54
16.839312,0.57
18.472004,0.5
18.887794,0.33
18.886658,0.71
18.605946,0.24
18.053808,0.97
19.192118,0.65
18.481178,0.76
18.259953,0.87
18.329603,0.78
16.824167,0.54
16.841797,0.92
18.436684,0.65
19.058338,0.23
18.651941,0.39
18.616327,0.48
18.884575,0.56
17.617647,0.25
17.270315,0.63
18.634865,0.24
17.93332,0.28
18.530983,0.41
18.919638,0.55
18.378605,0.36
17.092274,0.88
16.596386,0.77
17.678095,0.27
17.608194,0.65
17.923573,0.45
17.75026,0.6
17.292152,0.82
17.49421,0.81
18.887545,0.31
18.77789,0.66
18.69109,0.24
18.77084,0.38
18.354378,0.64
18.50118,0.24
19.487583,0.43
18.275066,0.79
17.659964,0.75
16.12911,0.96
18.307257,0.54
18.387907,0.31
19.490105,0.2
19.045458,0.38
19.110655,0.41
19.379353,0.29
17.739086,0.37
18.268728,0.65
19.215506,0.3
18.76134,0.64
18.833979,0.43
19.21262,0.25
19.184494,0.38
18.618889,0.52
18.776163,0.48
18.675867,0.26
18.882744,0.63
18.341291,0.49
17.633785,0.92
17.523626,0.78
17.778015,0.9
18.78147,0.6
18.499306,0.43
19.292616,0.24
17.299604,0.55
18.882841,0.29
17.14923,0.83
19.481688,0.47
18.907658,0.39
18.32001,0.39
19.054466,0.68
18.98806,0.23
19.055092,0.64
18.717072,0.32
18.79806,0.27
16.833027,0.42
18.178669,0.38
16.615374,0.96
18.15671,0.29
17.414888,0.47
18.506758,0.62
17.662382,0.63
17.25339,0.45
17.701145,0.46
17.918869,0.48
18.81778,0.56
18.931347,0.5
19.155811,0.36
19.427279,0.67
19.00548,0.57
17.547958,0.77
18.329824,0.54
18.53953,0.44
18.465744,0.36
18.199106,0.95
17.971657,0.56
17.946,0.6
17.721617,0.41
17.198097,0.99
18.903934,0.58
18.954437,0.59
18.346031,0.61
18.1422,0.63
18.637808,0.45
16.225191,0.35
17.300972,0.69
17.10589,0.95
18.601044,0.3
18.332909,0.68
18.25628,0.88
18.839476,0.36
19.364801,0.21
18.272934,0.28
18.878958,0.53
18.615974,0.5
18.493198,0.65
18.894848,0.67
18.88222,0.2
18.765799,0.2
17.649805,0.56
17.481585,0.35
16.40429,0.95
18.24699,0.46
17.440601,0.98
19.27238,0.5
17.461529,0.88
19.011555,0.21
18.289259,0.1
17.118769,0.17
19.53795,0.36
18.471737,0.65
17.566116,0.98
19.068829,0.27
17.865925,0.96
18.80662,0.48
18.384378,0.74
18.08541,0.89
19.090298,0.38
18.021927,0.86
18.95531,0.42
18.486208,0.61
18.133015,0.68
17.599392,0.9
17.577164,0.99
18.7117,0.26
19.214413,0.28
18.695307,0.49
17.877565,0.2
16.763432,0.8
18.559727,0.7
18.818308,0.28
16.409807,0.62
15.230745,1.0
16.872938,0.94
17.032938,0.62
17.341288,0.44
18.060614,0.06
16.644506,0.41
18.99117,0.07
18.912035,0.09
19.080961,0.14
18.04577,0.13
19.042023,0.57
18.243551,0.21
17.244307,0.83
17.736494,0.59
17.591038,0.88
18.312296,0.7
19.470562,0.21
19.613976,0.2
18.775192,0.53
17.617115,0.31
17.605906,0.83
18.26843,0.83
17.954515,0.29
17.419195,0.96
19.026506,0.28
19.653997,0.42
18.831062,0.2
17.348238,0.29
18.402586,0.39
18.69177,0.17
17.992233,0.23
19.458181,0.12
18.823616,0.2
18.834188,0.52
18.78313,0.25
15.752578,0.23
18.5924,0.18
18.993301,0.66
18.843102,0.59
18.774147,0.25
18.08993,0.63
18.316177,0.67
19.189701,0.35
19.201365,0.29
18.709234,0.59
17.968279,0.64
18.551039,0.59
18.971539,0.34
17.40933,0.7
18.153599,0.41
18.89986,0.42
18.364307,0.41
18.490036,0.54
18.380928,0.35
18.22286,0.72
18.439844,0.44
19.131603,0.53
19.189133,0.42
18.950047,0.54
17.122002,0.68
17.06733,0.94
18.708935,0.51
19.558926,0.24
18.89348,0.39
18.841394,0.74
18.955124,0.35
19.529488,0.52
15.591245,0.44
18.548885,0.31
18.365267,0.51
18.735577,0.32
18.89395,0.5
19.229456,0.58
17.731564,0.46
15.441321,0.15
17.323126,0.79
17.84874,0.23
17.944534,0.53
18.275488,0.25
15.333317,0.47
16.568693,1.0
18.754683,0.61
